,Operator,Departure Time,Travel Duration,Arrival Time,price,Bus Type,Seats Left,Window Seats,rating,Source,Destination,distance
17,NueGo,2024-11-07 19:00:00,04hrs 45mins,2024-11-07 23:45:00,474,Electric A/C Seater (2+2),38,17,4.0,Agra,Delhi,240
18,NueGo,2024-11-07 13:00:00,04hrs 45mins,2024-11-07 17:45:00,474,Electric A/C Seater (2+2),24,6,4.3,Agra,Delhi,240
20,NueGo,2024-11-07 17:00:00,04hrs 35mins,2024-11-07 21:35:00,474,Electric A/C Seater (2+2),29,15,4.1,Agra,Delhi,240
21,NueGo,2024-11-07 16:30:00,04hrs 35mins,2024-11-07 21:05:00,284,Electric A/C Seater (2+2),37,16,4.0,Agra,Delhi,240
22,NueGo,2024-11-07 16:00:00,04hrs 40mins,2024-11-07 20:40:00,284,Electric A/C Seater (2+2),35,17,3.9,Agra,Delhi,240
24,NueGo,2024-11-07 18:00:00,04hrs 45mins,2024-11-07 22:45:00,474,Electric A/C Seater (2+2),37,16,3.9,Agra,Delhi,240
25,IntrCity SmartBus,2024-11-07 04:45:00,03hrs 30mins,2024-11-07 08:15:00,1289,Bharat Benz A/C Seater /Sleeper (2+1),46,23,3.9,Agra,Delhi,240
26,IntrCity SmartBus,2024-11-07 04:10:00,03hrs 20mins,2024-11-07 07:30:00,1229,A/C Seater / Sleeper (2+1),42,23,3.9,Agra,Delhi,240
28,BSS COOL COOL TRAVELS,2024-11-07 06:40:00,03hrs 50mins,2024-11-07 10:30:00,2100,A/C Seater / Sleeper (2+2),42,16,4.0,Agra,Delhi,240
29,Raj Kalpana Travels Pvt.Ltd,2024-11-07 05:45:00,03hrs 30mins,2024-11-07 09:15:00,1299,A/C Seater/Sleeper (2+1),12,4,4.3,Agra,Delhi,240
30,Raj Kalpana Travels Pvt.Ltd,2024-11-07 22:30:00,03hrs 00mins,2024-11-07 01:30:00,1099,A/C Seater/Sleeper (2+1),27,15,4.0,Agra,Delhi,240
32,IntrCity SmartBus,2024-11-07 01:40:00,03hrs 45mins,2024-11-07 05:25:00,1189,A/C Seater / Sleeper (2+1),33,18,3.9,Agra,Delhi,240
33,NueGo,2024-11-07 08:00:00,04hrs 15mins,2024-11-07 12:15:00,521,Electric A/C Seater (2+2),17,7,3.9,Agra,Delhi,240
34,BSS COOL COOL TRAVELS,2024-11-07 04:00:00,04hrs 30mins,2024-11-07 08:30:00,845,A/C Seater / Sleeper (2+1),18,9,4.0,Agra,Delhi,240
35,IntrCity SmartBus,2024-11-07 04:10:00,03hrs 20mins,2024-11-07 07:30:00,1249,VE A/C Seater / Sleeper (2+1),29,11,3.9,Agra,Delhi,240
36,NueGo,2024-11-07 09:00:00,04hrs 35mins,2024-11-07 13:35:00,521,Electric A/C Seater (2+2),14,4,3.9,Agra,Delhi,240
37,Raj Kalpana Travels Pvt.Ltd,2024-11-07 02:30:00,04hrs 00mins,2024-11-07 06:30:00,1299,Bharat Benz A/C Seater /Sleeper (2+1),20,8,4.0,Agra,Delhi,240
38,NueGo,2024-11-07 14:00:00,04hrs 45mins,2024-11-07 18:45:00,474,Electric A/C Seater (2+2),30,14,3.6,Agra,Delhi,240
39,Sethi Yatra Company,2024-11-07 23:10:00,03hrs 20mins,2024-11-07 02:30:00,1044,A/C Seater / Sleeper (2+1),21,11,3.9,Agra,Delhi,240
40,BSS COOL COOL TRAVELS,2024-11-07 01:00:00,02hrs 30mins,2024-11-07 03:30:00,999,A/C Seater / Sleeper (2+2),14,2,4.0,Agra,Delhi,240
41,Raj Kalpana Travels Pvt.Ltd,2024-11-07 03:15:00,02hrs 45mins,2024-11-07 06:00:00,1699,A/C Sleeper (2+1),18,8,4.0,Agra,Delhi,240
42,BSS COOL COOL TRAVELS,2024-11-07 03:30:00,02hrs 30mins,2024-11-07 06:00:00,999,A/C Seater / Sleeper (2+1),11,5,4.0,Agra,Delhi,240
43,IntrCity SmartBus,2024-11-07 04:10:00,03hrs 25mins,2024-11-07 07:35:00,1399,Bharat Benz A/C Seater /Sleeper (2+1),10,6,4.0,Agra,Delhi,240
45,PTC-SKYBUS,2024-11-07 03:40:00,03hrs 45mins,2024-11-07 07:25:00,1000,AC Seater (2+2),29,12,3.7,Agra,Delhi,240
46,PTC-SKYBUS,2024-11-07 22:50:00,03hrs 25mins,2024-11-07 02:15:00,1299,VE A/C Seater / Sleeper (2+1),31,14,3.7,Agra,Delhi,240
47,DIVA BUS,2024-11-07 05:10:00,04hrs 30mins,2024-11-07 09:40:00,2857,A/C Seater / Sleeper (2+1),42,22,3.7,Agra,Delhi,240
48,NueGo,2024-11-07 15:00:00,04hrs 45mins,2024-11-07 19:45:00,474,Electric A/C Seater (2+2),37,16,3.4,Agra,Delhi,240
49,PTC-SKYBUS,2024-11-07 17:40:00,03hrs 35mins,2024-11-07 21:15:00,1199,VE A/C Seater / Sleeper (2+1),29,13,3.7,Agra,Delhi,240
50,Raj Kalpana Travels Pvt.ltd.,2024-11-07 02:50:00,02hrs 45mins,2024-11-07 05:35:00,1899,Bharat Benz A/C Seater /Sleeper (2+1),13,4,4.0,Agra,Delhi,240
51,PTC-SKYBUS,2024-11-07 15:15:00,04hrs 15mins,2024-11-07 19:30:00,1199,VE A/C Seater / Sleeper (2+1),27,14,3.7,Agra,Delhi,240
52,IntrCity SmartBus,2024-11-07 03:00:00,03hrs 15mins,2024-11-07 06:15:00,1899,VE A/C Seater / Sleeper (2+1),19,5,3.9,Agra,Delhi,240
53,Shatabdi Travels,2024-11-07 23:30:00,03hrs 40mins,2024-11-07 03:10:00,2099,Bharat Benz A/C Sleeper (2+1),25,12,3.8,Agra,Delhi,240
55,IntrCity SmartBus,2024-11-07 03:15:00,03hrs 25mins,2024-11-07 06:40:00,1519,Bharat Benz A/C Seater /Sleeper (2+1),12,6,3.9,Agra,Delhi,240
56,Vijay Tour and Travels,2024-11-07 22:30:00,04hrs 10mins,2024-11-07 02:40:00,999,Bharat Benz A/C Seater /Sleeper (2+1),36,19,3.5,Agra,Delhi,240
57,Raj Kalpana Travels Pvt.Ltd,2024-11-07 22:15:00,02hrs 45mins,2024-11-07 01:00:00,4849,A/C Seater/Sleeper (2+1),30,16,4.0,Agra,Delhi,240
62,Mahalaxmi Travels,2024-11-07 22:15:00,03hrs 30mins,2024-11-07 01:45:00,1499,A/C Sleeper (2+1),30,15,3.6,Agra,Delhi,240
63,Rajdhani Tourist Bus Service,2024-11-07 02:45:00,03hrs 15mins,2024-11-07 06:00:00,1649,A/C Sleeper (2+1),16,8,3.8,Agra,Delhi,240
64,Zingbus Plus,2024-11-07 02:35:00,04hrs 10mins,2024-11-07 06:45:00,1141,Bharat Benz A/C Seater /Sleeper (2+1),17,10,3.7,Agra,Delhi,240
66,NueGo,2024-11-07 10:00:00,04hrs 35mins,2024-11-07 14:35:00,527,Electric A/C Seater (2+2),11,2,3.6,Agra,Delhi,240
67,Raj Kalpana Travels Pvt.ltd.,2024-11-07 15:25:00,03hrs 05mins,2024-11-07 18:30:00,1999,A/C Seater/Sleeper (2+1),29,14,3.6,Agra,Delhi,240
68,Laxmi holidays,2024-11-07 04:55:00,03hrs 50mins,2024-11-07 08:45:00,884,Bharat Benz A/C Seater /Sleeper (2+1),12,5,3.7,Agra,Delhi,240
69,IntrCity SmartBus,2024-11-07 02:20:00,03hrs 20mins,2024-11-07 05:40:00,149,A/C Seater / Sleeper (2+1),10,6,3.6,Agra,Delhi,240
70,NueGo,2024-11-07 12:00:00,04hrs 45mins,2024-11-07 16:45:00,568,Electric A/C Seater (2+2),12,3,3.5,Agra,Delhi,240
74,Gola Bus Service,2024-11-07 18:00:00,03hrs 00mins,2024-11-07 21:00:00,1599,VE A/C Seater / Sleeper (2+1),37,19,3.2,Agra,Delhi,240
75,SAFAR EXPRESS PVT LTD,2024-11-07 02:46:00,03hrs 29mins,2024-11-07 06:15:00,1099,A/C Seater / Sleeper (2+1),34,12,3.2,Agra,Delhi,240
76,RAO SAHAB TRAVELS PRIVATE LIMITED,2024-11-07 08:25:00,03hrs 10mins,2024-11-07 11:35:00,1299,A/C Seater / Sleeper (2+1),26,14,3.3,Agra,Delhi,240
78,RAO SAHAB TRAVELS PRIVATE LIMITED,2024-11-07 06:40:00,03hrs 28mins,2024-11-07 10:08:00,1199,A/C Seater / Sleeper (2+1),23,9,3.3,Agra,Delhi,240
84,RAO SAHAB TRAVELS PRIVATE LIMITED,2024-11-07 02:51:00,02hrs 49mins,2024-11-07 05:40:00,2599,A/C Seater / Sleeper (2+1),27,13,3.3,Agra,Delhi,240
85,Laxmi holidays,2024-11-07 07:05:00,03hrs 10mins,2024-11-07 10:15:00,964,Bharat Benz A/C Seater /Sleeper (2+1),21,7,3.2,Agra,Delhi,240
86,Metahills holidays,2024-11-07 01:45:00,04hrs 00mins,2024-11-07 05:45:00,1400,Scania A/C Semi Sleeper (2+2),49,22,2.8,Agra,Delhi,240
87,Miles India Private Limited,2024-11-07 02:30:00,03hrs 20mins,2024-11-07 05:50:00,1899,Scania AC Multi Axle Sleeper (2+1),12,5,3.3,Agra,Delhi,240
89,Gola Bus Service,2024-11-07 14:30:00,25hrs 10mins,2024-11-07 15:40:00,1999,VE A/C Seater (2+2),45,20,2.8,Agra,Delhi,240
91,New shiv mahima travels express & cargo,2024-11-07 03:00:00,03hrs 30mins,2024-11-07 06:30:00,1000,NON AC Seater / Sleeper 2+1,34,18,2.8,Agra,Delhi,240
96,Khajuraho Travels,2024-11-07 04:52:00,03hrs 40mins,2024-11-07 08:32:00,996,A/C Seater / Sleeper (2+1),14,5,3.0,Agra,Delhi,240
97,Ashok tour and Travels,2024-11-07 18:00:00,05hrs 15mins,2024-11-07 23:15:00,332,AC Seater (2+2),36,16,2.6,Agra,Delhi,240
99,Raj Kalpana Travels Pvt.ltd.,2024-11-07 02:10:00,03hrs 40mins,2024-11-07 05:50:00,1119,A/C Seater/Sleeper (2+1),11,7,3.0,Agra,Delhi,240
100,Gola Bus Service,2024-11-07 05:30:00,02hrs 50mins,2024-11-07 08:20:00,699,Bharat Benz A/C Sleeper (2+1),22,11,2.8,Agra,Delhi,240
101,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),2024-11-07 23:59:00,03hrs 31mins,2024-11-07 03:30:00,1249,VE A/C Seater / Sleeper (2+1),22,12,2.8,Agra,Delhi,240
103,KN Nehra Travels,2024-11-07 04:00:00,04hrs 00mins,2024-11-07 08:00:00,999,A/C Seater / Sleeper (2+1),11,4,2.9,Agra,Delhi,240
104,Raj Kalpana Travels Pvt.ltd.,2024-11-07 02:25:00,03hrs 05mins,2024-11-07 05:30:00,1239,A/C Seater/Sleeper (2+1),18,9,2.8,Agra,Delhi,240
106,Gola Bus Service,2024-11-07 04:30:00,02hrs 50mins,2024-11-07 07:20:00,849,Bharat Benz A/C Seater /Sleeper (2+1),13,7,2.8,Agra,Delhi,240
107,Falcon Tour And Travels,2024-11-07 16:40:00,08hrs 20mins,2024-11-07 01:00:00,699,Volvo AC Seater (2+2),39,19,2.4,Agra,Delhi,240
110,Laxmi holidays,2024-11-07 14:30:00,04hrs 00mins,2024-11-07 18:30:00,513,Bharat Benz A/C Seater /Sleeper (2+1),41,21,2.3,Agra,Delhi,240
111,jiya tour and Travels,2024-11-07 23:30:00,02hrs 55mins,2024-11-07 02:25:00,2659,A/C Sleeper (2+1),36,18,2.6,Agra,Delhi,240
112,IntrCity SmartBus,2024-11-07 04:30:00,02hrs 45mins,2024-11-07 07:15:00,1339,Bharat Benz A/C Seater /Sleeper (2+1),24,14,2.6,Agra,Delhi,240
115,Gola Bus Service,2024-11-07 14:00:00,03hrs 30mins,2024-11-07 17:30:00,1999,VE A/C Seater (2+2),45,20,2.4,Agra,Delhi,240
116,International Tourist Centre,2024-11-07 03:35:00,03hrs 45mins,2024-11-07 07:20:00,990,VE A/C Seater / Sleeper (2+1),29,12,2.5,Agra,Delhi,240
118,Singh Tour & Travels,2024-11-07 06:00:00,02hrs 30mins,2024-11-07 08:30:00,797,Bharat Benz A/C Seater (2+2),26,7,2.5,Agra,Delhi,240
120,Raj Kalpana Travels Pvt.ltd.,2024-11-07 15:00:00,03hrs 00mins,2024-11-07 18:00:00,1800,VE A/C Sleeper (2+1),23,10,2.6,Agra,Delhi,240
121,IntrCity SmartBus,2024-11-07 04:30:00,03hrs 15mins,2024-11-07 07:45:00,1329,Bharat Benz A/C Seater /Sleeper (2+1),25,14,2.4,Agra,Delhi,240
123,AGRA TRAVELSENSE,2024-11-07 17:30:00,04hrs 30mins,2024-11-07 22:00:00,699,AC Seater (2+2),37,18,2.1,Agra,Delhi,240
124,Arhaan Travels,2024-11-07 01:55:00,04hrs 50mins,2024-11-07 06:45:00,999,A/C Seater / Sleeper (2+1),40,17,2.1,Agra,Delhi,240
126,Gola Bus Service,2024-11-07 02:00:00,05hrs 00mins,2024-11-07 07:00:00,1239,VE A/C Seater / Sleeper (2+1),12,9,2.4,Agra,Delhi,240
128,NAYAR TRAVELS (OPC) PVT LTD,2024-11-07 02:50:00,03hrs 30mins,2024-11-07 06:20:00,1500,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),49,22,1.9,Agra,Delhi,240
129,Arhaan Travels,2024-11-07 03:30:00,03hrs 45mins,2024-11-07 07:15:00,1899,Mercedes Benz Multi-Axle A/C Sleeper (2+1),36,18,2.1,Agra,Delhi,240
131,AGRA TRAVELSENSE,2024-11-07 15:30:00,03hrs 45mins,2024-11-07 19:15:00,699,AC Seater (2+2),37,18,1.9,Agra,Delhi,240
132,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),2024-11-07 00:30:00,04hrs 00mins,2024-11-07 04:30:00,1599,A/C Sleeper (2+2),31,12,2.1,Agra,Delhi,240
134,Vijay Tour and Travels,2024-11-07 22:10:00,03hrs 30mins,2024-11-07 01:40:00,900,Bharat Benz A/C Seater /Sleeper (2+1),30,13,2.0,Agra,Delhi,240
136,SAFAR EXPRESS PVT LTD,2024-11-07 01:00:00,04hrs 30mins,2024-11-07 05:30:00,1100,NON AC Seater / Sleeper 2+1,15,6,2.2,Agra,Delhi,240
137,Hans India Tour,2024-11-07 06:30:00,03hrs 00mins,2024-11-07 09:30:00,3000,A/C Seater / Sleeper (2+2),48,11,2.0,Agra,Delhi,240
138,Ashok tour and Travels,2024-11-07 14:30:00,05hrs 15mins,2024-11-07 19:45:00,332,AC Seater (2+2),36,16,1.8,Agra,Delhi,240
139,Ashok tour and Travels,2024-11-07 10:00:00,05hrs 15mins,2024-11-07 15:15:00,332,AC Seater (2+2),36,16,1.8,Agra,Delhi,240
140,Hans India Tour,2024-11-07 06:00:00,03hrs 00mins,2024-11-07 09:00:00,3000,A/C Seater / Sleeper (2+2),47,10,2.0,Agra,Delhi,240
141,Vande Bharat Travels,2024-11-07 05:05:00,03hrs 00mins,2024-11-07 08:05:00,2190,A/C Seater / Sleeper (2+2),54,25,1.7,Agra,Delhi,240
142,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),2024-11-07 23:55:00,21hrs 25mins,2024-11-07 03:30:00,1199,A/C Sleeper (2+2),14,6,2.1,Agra,Delhi,240
143,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),2024-11-07 01:30:00,04hrs 05mins,2024-11-07 05:35:00,1199,Bharat Benz A/C Seater /Sleeper (2+1),14,5,2.1,Agra,Delhi,240
144,SAFAR EXPRESS PVT LTD,2024-11-07 01:35:00,03hrs 45mins,2024-11-07 05:20:00,1099,A/C Seater / Sleeper (2+1),34,12,1.8,Agra,Delhi,240
147,Raj Kalpana Travels Pvt.Ltd,2024-11-07 02:15:00,03hrs 15mins,2024-11-07 05:30:00,1200,Non A/C Seater / Sleeper (2+1),32,15,1.8,Agra,Delhi,240
148,NAYAR TRAVELS (OPC) PVT LTD,2024-11-07 02:20:00,03hrs 50mins,2024-11-07 06:10:00,1599,A/C Sleeper (2+1),24,11,1.9,Agra,Delhi,240
149,Royal Star Travels,2024-11-07 09:30:00,04hrs 30mins,2024-11-07 14:00:00,499,AC Seater (2+2),26,13,1.7,Agra,Delhi,240
150,Panwar tour and Travels,2024-11-07 05:30:00,03hrs 30mins,2024-11-07 09:00:00,1125,A/C Seater / Sleeper (2+2),51,23,1.4,Agra,Delhi,240
151,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),2024-11-07 22:00:00,03hrs 10mins,2024-11-07 01:10:00,1099,VE A/C Seater / Sleeper (2+1),27,14,1.7,Agra,Delhi,240
152,Panwar tour and Travels,2024-11-07 05:00:00,04hrs 30mins,2024-11-07 09:30:00,1395,A/C Seater / Sleeper (2+2),46,19,1.4,Agra,Delhi,240
153,RAWAT HOLIDAYS,2024-11-07 12:59:00,03hrs 31mins,2024-11-07 16:30:00,899,A/C Seater (2+2),48,22,1.3,Agra,Delhi,240
154,Panwar tour and Travels,2024-11-07 05:00:00,04hrs 30mins,2024-11-07 09:30:00,1080,A/C Seater / Sleeper (2+1),38,21,1.4,Agra,Delhi,240
155,RAWAT HOLIDAYS,2024-11-07 11:59:00,03hrs 31mins,2024-11-07 15:30:00,899,A/C Seater (2+2),45,20,1.3,Agra,Delhi,240
156,New Shatabdi Travels,2024-11-07 02:00:00,04hrs 30mins,2024-11-07 06:30:00,1999,NON A/C Sleeper (2+1),30,16,1.6,Agra,Delhi,240
157,RAWAT HOLIDAYS,2024-11-07 17:45:00,04hrs 15mins,2024-11-07 22:00:00,449,A/C Seater (2+2),28,14,1.4,Agra,Delhi,240
158,Ashok tour and Travels,2024-11-07 11:00:00,05hrs 15mins,2024-11-07 16:15:00,285,AC Seater (2+2),35,15,1.3,Agra,Delhi,240
159,Royal Star Travels,2024-11-07 14:00:00,04hrs 00mins,2024-11-07 18:00:00,449,AC Seater (2+2),28,11,1.3,Agra,Delhi,240
161,Royal Star Travels,2024-11-07 14:45:00,04hrs 00mins,2024-11-07 18:45:00,499,AC Seater (2+2),25,13,1.3,Agra,Delhi,240
162,RAWAT HOLIDAYS,2024-11-07 09:00:00,04hrs 15mins,2024-11-07 13:15:00,449,A/C Seater (2+2),45,20,1.0,Agra,Delhi,240
163,AGRA TRAVELSENSE,2024-11-07 13:15:00,04hrs 00mins,2024-11-07 17:15:00,449,AC Seater (2+2),19,9,1.3,Agra,Delhi,240
165,Raj Kalpana Travels Pvt.ltd.,2024-11-07 02:45:00,03hrs 45mins,2024-11-07 06:30:00,1199,VE A/C Seater (2+2),45,20,1.0,Agra,Delhi,240
166,RAWAT HOLIDAYS,2024-11-07 13:00:00,04hrs 15mins,2024-11-07 17:15:00,461,A/C Seater (2+2),23,10,1.2,Agra,Delhi,240
167,Taj Express Bus Service Pvt Ltd,2024-11-07 14:00:00,03hrs 45mins,2024-11-07 17:45:00,450,Non AC Seater (2+2),33,14,1.0,Agra,Delhi,240
168,Taj Express Bus Service Pvt Ltd,2024-11-07 16:00:00,03hrs 45mins,2024-11-07 19:45:00,450,Non AC Seater (2+2),33,14,1.0,Agra,Delhi,240
169,Taj Express Bus Service Pvt Ltd,2024-11-07 08:00:00,03hrs 45mins,2024-11-07 11:45:00,450,Non AC Seater (2+2),33,14,1.0,Agra,Delhi,240
170,Taj Express Bus Service Pvt Ltd,2024-11-07 11:59:00,03hrs 45mins,2024-11-07 15:44:00,450,Non AC Seater (2+2),33,14,1.0,Agra,Delhi,240
171,Taj Express Bus Service Pvt Ltd,2024-11-07 18:00:00,03hrs 45mins,2024-11-07 21:45:00,450,Non AC Seater (2+2),33,14,1.0,Agra,Delhi,240
172,Taj Express Bus Service Pvt Ltd,2024-11-07 06:00:00,03hrs 45mins,2024-11-07 09:45:00,450,Non AC Seater (2+2),33,14,1.0,Agra,Delhi,240
173,Taj Express Bus Service Pvt Ltd,2024-11-07 10:00:00,03hrs 45mins,2024-11-07 13:45:00,450,Non AC Seater (2+2),33,14,1.0,Agra,Delhi,240
174,Vande Fly,2024-11-07 01:50:00,03hrs 40mins,2024-11-07 05:30:00,999,A/C Seater / Sleeper (2+2),33,11,1.0,Agra,Delhi,240
175,Vinay Travels,2024-11-07 03:45:00,03hrs 50mins,2024-11-07 07:35:00,1190,VE A/C Seater / Sleeper (2+1),33,15,1.0,Agra,Delhi,240
176,Yolo Bus,2024-11-07 16:30:00,02hrs 57mins,2024-11-07 19:27:00,1030,Bharat Benz A/C Sleeper (2+1),27,13,1.0,Agra,Delhi,240
177,Vande Fly,2024-11-07 02:55:00,03hrs 35mins,2024-11-07 06:30:00,910,A/C Seater / Sleeper (2+2),25,8,1.0,Agra,Delhi,240
178,Raj Shila Travels,2024-11-07 05:00:00,02hrs 30mins,2024-11-07 07:30:00,890,A/C Seater / Sleeper (2+2),23,5,1.0,Agra,Delhi,240
179,Gola Bus Service,2024-11-07 06:10:00,01hrs 50mins,2024-11-07 08:00:00,749,VE A/C Seater (2+2),22,3,1.0,Agra,Delhi,240
180,Yolo Bus,2024-11-07 02:26:00,02hrs 48mins,2024-11-07 05:14:00,1620,Bharat Benz A/C Sleeper (2+1),20,9,1.0,Agra,Delhi,240
182,Raj Kalpana Travels Pvt.ltd.,2024-11-07 01:30:00,02hrs 45mins,2024-11-07 04:15:00,1499,A/C Sleeper (2+1),10,6,1.0,Agra,Delhi,240
183,Gola Bus Service,2024-11-07 02:50:00,03hrs 00mins,2024-11-07 05:50:00,1999,A/C Seater/Sleeper (2+1),10,5,1.0,Agra,Delhi,240
185,BSS COOL COOL TRAVELS,2024-11-07 08:00:00,02hrs 30mins,2024-11-07 10:30:00,799,A/C Seater / Sleeper (2+1),23,7,3.2,Agra,Delhi,240
187,SAFAR EXPRESS PVT LTD,2024-11-07 23:00:00,04hrs 00mins,2024-11-07 03:00:00,1199,A/C Seater / Sleeper (2+2),47,18,5.0,Agra,Lucknow,334
188,Khajuraho Travels,2024-11-07 23:56:00,04hrs 40mins,2024-11-07 04:36:00,1296,A/C Seater / Sleeper (2+1),46,22,5.0,Agra,Lucknow,334
189,Shree Mahaveer Travels Jaipur,2024-11-07 03:35:00,05hrs 10mins,2024-11-07 08:45:00,799,A/C Seater/Sleeper (2+1),38,20,5.0,Agra,Lucknow,334
190,Anshi Raj Shree Travels,2024-11-07 22:15:00,04hrs 45mins,2024-11-07 03:00:00,899,Bharat Benz A/C Seater /Sleeper (2+1),38,19,5.0,Agra,Lucknow,334
191,Tourist Point,2024-11-07 23:55:00,05hrs 35mins,2024-11-07 05:30:00,1049,A/C Seater / Sleeper (2+2),39,19,5.0,Agra,Lucknow,334
192,Yolo Bus,2024-11-07 15:10:00,04hrs 03mins,2024-11-07 19:13:00,750,Bharat Benz A/C Sleeper (2+1),28,14,5.0,Agra,Lucknow,334
193,Gola Bus Service,2024-11-07 23:30:00,05hrs 15mins,2024-11-07 04:45:00,1169,A/C Seater/Sleeper (2+1),35,15,5.0,Agra,Lucknow,334
194,Gola Bus Service,2024-11-07 23:00:00,04hrs 10mins,2024-11-07 03:10:00,1599,VE A/C Seater / Sleeper (2+1),36,18,5.0,Agra,Lucknow,334
195,Laxmi holidays,2024-11-07 21:55:00,05hrs 05mins,2024-11-07 03:00:00,1330,Bharat Benz A/C Seater /Sleeper (2+1),47,24,4.8,Agra,Lucknow,334
196,Gola Bus Service,2024-11-07 23:55:00,05hrs 05mins,2024-11-07 05:00:00,1599,VE A/C Seater / Sleeper (2+1),34,15,5.0,Agra,Lucknow,334
198,IntrCity SmartBus,2024-11-07 02:10:00,04hrs 45mins,2024-11-07 06:55:00,569,Bharat Benz A/C Seater /Sleeper (2+1),23,10,5.0,Agra,Lucknow,334
199,IntrCity SmartBus,2024-11-07 21:30:00,04hrs 35mins,2024-11-07 02:05:00,1269,A/C Seater / Sleeper (2+1),37,19,4.9,Agra,Lucknow,334
201,Raj Kalpana Travels Pvt.ltd.,2024-11-07 02:50:00,04hrs 25mins,2024-11-07 07:15:00,579,A/C Seater/Sleeper (2+1),21,9,5.0,Agra,Lucknow,334
202,Jamna Travels (Delhi),2024-11-07 22:00:00,04hrs 30mins,2024-11-07 02:30:00,1100,A/C Seater/Sleeper (2+1),26,10,5.0,Agra,Lucknow,334
203,Panwar Travels,2024-11-07 21:00:00,05hrs 10mins,2024-11-07 02:10:00,1235,A/C Seater / Sleeper (2+1),26,12,5.0,Agra,Lucknow,334
204,Gola Bus Service,2024-11-07 22:00:00,05hrs 15mins,2024-11-07 03:15:00,1599,A/C Seater/Sleeper (2+1),30,13,5.0,Agra,Lucknow,334
205,Laxmi holidays,2024-11-07 03:30:00,04hrs 00mins,2024-11-07 07:30:00,683,Bharat Benz A/C Seater /Sleeper (2+1),17,10,5.0,Agra,Lucknow,334
206,Here Bus,2024-11-07 00:30:00,04hrs 15mins,2024-11-07 04:45:00,2160,A/C Sleeper (2+1),36,18,4.8,Agra,Lucknow,334
207,IntrCity SmartBus,2024-11-07 00:50:00,04hrs 55mins,2024-11-07 05:45:00,879,Bharat Benz A/C Sleeper (2+1),14,9,5.0,Agra,Lucknow,334
209,RS YADAV SMART BUS,2024-11-07 23:20:00,03hrs 50mins,2024-11-07 03:10:00,1599,A/C Seater / Sleeper (2+1),17,4,5.0,Agra,Lucknow,334
210,BT Travels,2024-11-07 15:20:00,03hrs 50mins,2024-11-07 19:10:00,711,A/C Seater / Sleeper (2+1),35,14,4.6,Agra,Lucknow,334
211,Laxmi holidays,2024-11-07 20:30:00,05hrs 00mins,2024-11-07 01:30:00,1330,Bharat Benz A/C Seater /Sleeper (2+1),35,18,4.7,Agra,Lucknow,334
212,Laxmi holidays,2024-11-07 16:00:00,05hrs 30mins,2024-11-07 21:30:00,570,Bharat Benz A/C Seater /Sleeper (2+1),39,19,4.5,Agra,Lucknow,334
